,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,2,-1.165522543236504,-1.285566089167874,0
1,1,0,0,0,1,0,0,2,0,2,0,0,0,1,0,3,-0.26407096544550474,0.060345819010170214,0
2,1,0,0,0,1,0,0,2,2,0,0,0,0,0,1,3,-0.36718904260978885,-1.2447808798291453,1
3,1,0,0,0,0,1,0,2,0,2,2,0,0,1,0,0,-0.7513870397863956,0.508983121736185,0
4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0.1933076026218841,-1.2447808798291453,1
5,0,0,0,0,1,2,1,0,0,2,0,2,2,0,1,2,1.1562973877528593,-1.0000696237967737,1
6,1,0,0,1,1,2,1,0,2,0,0,2,0,0,1,1,0.8053632864356988,-0.42907669305457313,0
7,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,-1.1688489328224487,-0.9184992051193165,0
8,0,0,1,0,1,2,1,0,0,2,2,2,2,0,1,2,1.3276064514290082,-0.18436543702220148,1
9,1,0,0,1,1,0,0,2,2,0,0,0,0,1,0,0,-0.29068208213306207,1.2023316804945716,0
10,1,0,1,1,1,0,0,2,0,0,0,0,0,0,1,3,-0.49691823646163,-0.7961435771031307,0
11,1,0,0,0,1,0,2,1,1,1,1,1,1,2,0,1,-1.5280990081044703,-0.6737879490869448,0
12,1,0,1,0,1,2,1,0,0,2,0,2,2,1,0,1,1.1795821148544714,1.039190843139657,0
13,1,0,0,0,1,2,1,0,2,2,0,2,2,0,1,0,1.2910161659836175,0.6721239590910995,1
14,1,0,0,0,1,0,1,2,0,2,2,2,2,0,1,2,1.350891178530621,-0.3067210650383873,0
15,0,0,1,1,1,2,1,2,2,2,2,2,2,2,0,1,1.608686371441331,1.487828145865672,0
16,0,0,0,0,1,0,2,1,1,1,1,1,1,1,0,3,-1.4715503851434115,0.7944795871072853,0
17,1,0,0,1,1,2,1,2,0,2,0,2,2,2,0,0,1.3908078535619568,1.569398564543129,0
18,0,0,1,1,1,0,0,0,0,2,2,0,0,0,0,1,-0.32228278319953607,-0.9184992051193165,1
19,0,0,0,0,1,0,1,0,2,2,0,0,2,0,1,2,0.8369639875021729,-0.4698619023933018,0
20,1,1,0,0,0,1,0,0,0,2,0,0,2,0,1,2,-0.8395363638139287,-1.285566089167874,1
21,1,0,1,0,1,0,2,1,1,1,1,1,1,1,0,0,-1.499824696623941,-0.8369287864418593,0
22,1,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,-1.4881823330731347,-1.285566089167874,1
23,0,0,1,0,1,2,0,0,2,0,2,0,0,2,1,1,-0.16594247266013784,1.039190843139657,0
24,1,0,1,1,1,0,0,2,2,0,2,0,0,0,0,1,-0.17592164141797167,0.6721239590910995,0
25,0,0,0,0,1,0,0,2,2,0,0,0,0,0,1,0,-0.3189563936135916,-0.10279501834474424,0
26,1,0,1,1,1,2,1,0,2,0,0,2,2,0,1,2,1.146318218995025,0.5905535404136423,1
27,1,0,1,1,0,1,0,0,2,0,0,0,0,0,0,2,-1.1538801796856977,-1.285566089167874,1
28,1,0,1,0,1,2,0,2,2,2,2,2,2,2,1,1,0.8436167666740624,1.6101837738818576,0
29,0,0,0,1,1,0,0,0,0,0,0,2,2,0,1,3,-0.006275772534794672,-0.6330027397482163,1
30,0,1,1,0,1,2,1,2,2,2,2,0,0,2,1,1,1.0465265314166856,1.569398564543129,0
31,1,1,1,0,1,0,1,0,0,2,0,2,2,0,1,1,1.0182522199361563,-1.2447808798291453,0
32,0,0,1,1,1,0,0,2,2,2,2,0,0,1,0,3,0.041956876461402795,-0.22515064636093007,0
33,1,0,0,0,1,0,2,1,1,1,1,1,1,0,0,0,-1.4865191382801624,-1.285566089167874,0
34,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.6532585470010285,-1.285566089167874,0
35,0,0,1,1,1,2,1,2,2,0,2,2,0,2,0,0,1.164613361717721,1.6101837738818576,0
36,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0.16004370676243765,-1.1224252518129596,1
37,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,1,0.3296895756456144,0.5497683310749136,0
38,1,0,0,0,1,2,1,0,2,2,0,2,2,0,1,2,1.3791654900111503,0.060345819010170214,1
39,0,0,0,0,1,2,1,0,0,2,0,2,2,0,1,0,1.0964223752058553,-0.877713995780588,1
40,1,0,1,1,1,0,0,0,2,0,0,0,0,1,0,3,-0.5102237948054088,-0.9184992051193165,0
41,0,0,1,1,1,2,0,2,2,0,0,2,0,2,1,1,0.14341175883271443,1.5286133552044003,0
42,0,0,1,1,1,0,2,1,1,1,1,1,1,1,0,3,-1.4682239955574667,-0.6330027397482163,0
43,0,0,0,0,1,2,0,2,2,2,2,2,0,2,1,1,0.497672249735819,1.2431168898333003,0
44,0,0,1,0,1,2,0,2,2,0,2,2,0,0,1,2,0.37625902984883963,-0.7961435771031307,0
45,0,0,0,0,1,2,1,0,0,0,0,0,2,0,1,2,0.6523493654822452,0.6721239590910995,0
46,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,-0.5202029635632426,-1.2447808798291453,0
47,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,2,0.5242833664233765,-1.2447808798291453,1
48,1,0,0,0,1,2,0,2,0,0,2,2,2,2,1,1,0.4943458601498745,0.7944795871072853,0
49,0,0,1,1,1,2,0,2,0,2,2,0,0,2,1,1,-0.024570915257490132,1.487828145865672,0
50,0,1,0,0,1,2,1,0,2,0,0,2,0,0,1,2,0.8436167666740624,0.42741270305872775,0
51,0,0,0,0,1,0,1,2,2,0,0,2,2,0,1,1,1.1380022450301635,-0.7145731584256735,1
52,0,1,1,0,1,2,0,2,0,0,2,2,0,0,1,1,0.15339092759054826,-0.3067210650383873,0
53,0,1,1,0,1,2,1,0,2,0,0,0,0,0,1,1,0.5242833664233765,-1.0000696237967737,1
54,0,1,1,1,1,0,0,2,2,2,2,0,2,1,1,1,0.33135277043858663,1.1207612618171143,0
55,1,1,0,0,1,2,1,0,0,0,0,2,2,0,1,2,1.0165890251431842,-0.5922175304094877,1
56,0,0,1,1,1,2,1,2,0,0,0,2,2,1,1,1,1.1562973877528593,1.2431168898333003,0
57,1,1,1,1,1,2,1,0,2,2,2,2,2,1,1,2,1.4490196713159882,1.365472517849486,0
58,0,0,1,1,1,2,2,1,1,1,1,1,1,2,0,1,-1.3285156329477916,0.060345819010170214,0
59,0,0,0,0,1,2,1,0,0,2,2,2,2,2,1,1,1.417418970249514,1.6101837738818576,0
60,0,0,1,0,1,2,1,0,0,2,0,2,2,0,1,2,1.1845716992333886,0.5905535404136423,0
61,1,0,0,0,1,2,1,0,2,0,0,2,0,0,1,0,0.8319744031232563,1.1207612618171143,0
62,1,0,1,0,0,1,0,2,2,2,0,0,0,2,0,0,-0.7580398189582848,1.6101837738818576,0
63,0,0,1,1,1,0,0,0,0,2,2,0,0,1,1,1,-0.3488938998870934,-0.5922175304094877,0
64,0,0,0,0,1,2,1,0,0,0,0,2,2,0,0,2,0.9816619344907653,-0.9592844144580451,1
65,0,0,0,0,1,0,0,0,2,0,2,2,2,0,1,2,0.34632152357533763,-1.2039956704904167,0
66,1,0,1,0,1,2,1,0,2,0,0,0,0,1,1,2,0.4660715486693452,0.5905535404136423,0
67,0,0,0,0,1,0,0,0,2,2,2,2,2,2,0,3,0.476050717427179,-0.062009809006015625,0
68,0,0,1,1,1,0,2,1,1,1,1,1,1,2,0,0,-1.4881823330731347,0.7129091684298281,0
69,1,0,0,0,1,0,1,2,0,2,0,0,0,0,1,3,0.497672249735819,-0.9184992051193165,0
70,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,-0.526855742735132,-1.285566089167874,0
71,0,0,1,1,1,0,2,1,1,1,1,1,1,1,1,2,-1.4798663591082732,0.7944795871072853,0
72,1,1,1,1,1,2,1,2,0,2,2,2,2,2,1,0,1.5538009432732443,1.2839020991720287,0
73,1,0,1,1,1,2,2,1,1,1,1,1,1,2,1,0,-1.3518003600494042,1.2023316804945716,0
74,0,0,0,1,1,0,0,2,0,0,2,0,2,0,1,0,-0.012928551706684058,-1.2039956704904167,0
75,0,1,0,0,1,2,1,2,2,2,0,2,2,1,0,2,1.5172106578278532,0.9576204244621997,0
76,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,-0.3073140300627853,0.5497683310749136,0
77,0,0,1,1,1,0,0,2,2,0,0,0,0,0,0,3,-0.3405779259222318,-1.0000696237967737,0
78,1,1,0,0,1,0,0,2,2,0,0,2,2,0,1,2,0.3280263808526422,-0.10279501834474424,0
79,0,0,1,1,1,2,2,1,1,1,1,1,1,1,1,1,-1.2969149318813176,0.508983121736185,0
80,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,0.48104030180609575,-1.285566089167874,1
81,0,0,1,1,0,1,0,2,0,0,0,2,2,0,0,2,-0.4769598989459623,-0.877713995780588,0
82,0,0,1,0,1,0,1,0,0,2,0,0,0,0,1,0,0.34133193919642096,-1.0408548331355023,1
83,0,0,0,0,1,0,1,0,2,2,2,2,2,0,1,0,1.2943425555695618,0.3866274937199991,0
84,0,0,1,0,1,0,2,1,1,1,1,1,1,2,1,0,-1.4881823330731347,0.6721239590910995,0
85,1,0,0,0,1,2,1,0,2,0,0,2,2,0,1,1,1.1446550242020528,-0.9592844144580451,0
86,0,0,1,0,1,0,0,2,0,0,0,2,0,1,1,0,-0.0910987069763833,0.10113102834889882,0
87,0,0,1,1,1,0,2,1,1,1,1,1,1,2,0,0,-1.4715503851434115,0.6313387497523708,0
88,0,0,1,1,1,0,2,1,1,1,1,1,1,2,1,3,-1.4948351122450239,0.5497683310749136,0
89,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,3,-1.0357933493846627,-0.14358022768347287,0
90,1,0,1,1,1,0,1,0,2,2,0,0,0,0,0,0,0.5708528206266013,-0.10279501834474424,0
91,1,1,0,0,1,0,1,0,0,0,2,0,0,0,0,2,0.32636318605966996,-1.285566089167874,0
92,1,0,1,1,1,2,0,2,0,2,2,2,2,2,1,3,0.635717417552522,1.365472517849486,0
93,0,0,0,0,1,2,1,2,2,2,0,2,2,0,1,1,1.5355058005505486,1.3246873085107573,0
94,1,0,0,0,1,2,1,0,2,2,0,2,2,2,1,0,1.1978772575771675,1.6101837738818576,0
95,0,0,0,0,1,2,1,2,0,0,0,0,0,0,1,2,0.4677347434623174,-0.8369287864418593,1
96,1,0,1,1,1,2,0,2,2,0,2,0,0,1,1,1,0.06524160356301494,1.569398564543129,0
97,1,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,-1.458244826799633,-1.1224252518129596,1
98,1,0,0,0,1,0,2,1,1,1,1,1,1,2,0,0,-1.4599080215926052,0.7944795871072853,0
99,0,1,1,0,1,0,1,0,2,2,0,2,2,0,1,2,1.1180439075144957,-0.3067210650383873,1
100,1,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,-1.4865191382801624,-1.285566089167874,0
101,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,2,-1.511467060174747,-1.285566089167874,0
102,1,0,0,0,1,2,1,0,0,2,2,2,0,1,0,0,1.001620272006433,0.22348665636508466,0
103,0,1,1,0,0,1,0,0,2,2,0,2,0,1,0,0,-0.6432793782431946,1.365472517849486,0
104,1,0,1,0,1,2,1,0,2,2,2,2,2,2,1,0,1.50057870989813,1.4470429365269433,1
105,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,-1.350137165256432,-1.1224252518129596,0
106,0,0,1,1,1,2,1,2,2,0,0,2,2,1,1,2,1.3059849191203683,1.6101837738818576,0
107,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,3,-1.15554337447867,-0.021224599667287014,0
108,1,0,0,0,1,2,1,0,0,0,0,2,2,1,0,3,0.9799987396977927,0.42741270305872775,0
109,1,0,1,1,1,0,2,1,1,1,1,1,1,2,0,1,-1.5131302549677197,1.6101837738818576,0
110,1,0,1,0,1,2,1,2,2,0,0,2,0,0,1,2,1.0598320897604643,0.9168352151234711,1
111,0,0,0,0,1,0,0,2,0,2,2,0,0,1,0,1,-0.2308070695860583,0.7944795871072853,0
112,0,0,0,0,1,0,1,0,2,2,0,2,0,0,1,2,0.8901862208772876,0.42741270305872775,0
113,0,1,1,0,1,2,1,0,0,0,0,0,0,0,1,2,0.3862381986066735,0.18270144702635607,1
114,0,0,1,1,0,1,0,0,2,0,2,2,2,2,1,2,-0.342241120715204,1.2839020991720287,0
115,1,0,1,1,1,0,1,2,2,0,0,2,0,0,0,2,0.8303112083302836,-1.2039956704904167,0
116,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,-1.1256058682051684,0.14191623768762746,0
117,0,0,1,1,1,2,1,2,0,0,0,2,2,0,1,2,1.176255725268527,-0.9184992051193165,1
118,0,0,0,0,1,0,2,1,1,1,1,1,1,2,0,3,-1.4715503851434115,0.3458422843812705,0
119,1,0,1,1,1,2,1,0,2,0,2,0,0,0,1,1,0.6756340925838579,-0.22515064636093007,0
120,0,0,1,1,1,2,1,0,0,2,0,2,2,1,1,1,1.161286972131776,0.9576204244621997,0
121,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,-1.4698871903504391,-1.081640042474231,0
122,1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,0.31638401730183613,-1.2039956704904167,1
123,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,3,-0.47197031456704513,-1.0408548331355023,0
124,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,-1.4648976059715222,-1.1632104611516882,0
125,1,0,0,0,1,0,1,2,0,0,2,2,0,2,1,2,0.800373702056782,0.019560609671441603,0
126,0,1,0,0,1,2,1,0,0,2,0,0,0,0,1,2,0.4377972371888154,-0.22515064636093007,1
127,1,0,1,0,1,2,2,1,1,1,1,1,1,2,1,0,-1.3750850871510167,1.6101837738818576,0
128,1,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,-1.5014878914169132,-1.285566089167874,0
129,1,1,0,0,0,1,0,2,2,0,0,2,2,1,1,2,-0.280702913375228,1.569398564543129,0
130,0,0,0,0,1,2,1,0,0,0,0,0,2,0,1,2,0.7005820144784427,-0.7961435771031307,0
131,0,0,1,1,0,1,0,2,2,2,0,2,2,0,1,1,-0.20918553727741815,-0.3067210650383873,1
132,1,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,-0.4769598989459623,1.4062577271882146,0
133,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,-0.9792447264236037,-1.285566089167874,1
134,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,-0.6831960532745303,-1.2447808798291453,1
135,0,0,0,0,1,2,2,1,1,1,1,1,1,2,1,1,-1.3035677110532067,0.42741270305872775,0
136,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0.3363423548175038,-0.38829148371584454,0
137,0,0,1,1,1,0,2,1,1,1,1,1,1,2,0,3,-1.4865191382801624,1.2839020991720287,0
138,1,0,0,1,1,0,2,1,1,1,1,1,1,2,1,3,-1.5064774757958301,0.9984056338009283,0
139,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,3,0.18499162865702248,-1.285566089167874,1
140,0,1,1,1,1,2,0,2,2,2,2,2,2,2,1,1,0.77043619578328,1.6101837738818576,0
141,0,0,0,0,1,2,0,2,0,0,2,0,2,0,0,2,0.20827635575863512,-1.0000696237967737,1
142,0,0,1,0,1,2,1,0,2,0,0,2,2,2,1,0,1.2028668419560842,1.161546471155843,0
143,1,0,0,0,1,2,1,2,2,0,0,0,0,1,1,1,0.6456965863103559,1.2839020991720287,0
144,1,1,1,0,1,2,2,1,1,1,1,1,1,2,0,0,-1.361779528807238,1.569398564543129,0
145,0,0,1,1,1,2,1,2,2,0,2,2,0,2,1,1,1.136339050237191,1.3246873085107573,0
146,1,0,0,0,1,0,2,1,1,1,1,1,1,1,0,3,-1.5064774757958301,-1.2039956704904167,0
147,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,-0.6399529886572499,-1.285566089167874,1
148,1,0,0,1,1,0,0,0,2,2,0,2,0,1,0,1,-0.012928551706684058,-0.10279501834474424,0
149,1,0,1,1,1,0,0,0,2,2,2,0,2,0,1,3,0.15339092759054826,-0.7145731584256735,0
150,0,0,1,1,1,0,0,0,0,0,2,2,2,0,1,2,0.12179022652407402,-1.0000696237967737,0
151,1,0,0,0,1,2,1,0,0,0,0,2,2,0,0,3,1.001620272006433,-1.0408548331355023,1
152,0,0,1,1,1,2,1,2,2,2,0,2,2,1,1,1,1.4390405025581543,1.5286133552044003,0
153,1,0,1,1,1,0,0,2,2,2,2,2,2,2,0,2,0.7055715988573593,1.2023316804945716,0
154,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,-1.5031510862098856,-1.081640042474231,0
155,0,0,1,1,1,0,1,0,0,0,0,0,2,0,1,0,0.5325993403882381,-0.7553583677644021,0
156,0,0,0,0,1,2,1,0,0,0,0,2,0,0,1,0,0.6407070019314391,-0.42907669305457313,0
157,1,0,1,1,1,0,2,1,1,1,1,1,1,1,0,3,-1.4881823330731347,-0.42907669305457313,0
158,1,0,1,1,1,0,0,2,0,2,0,2,0,2,0,3,-0.021244525671545673,-0.6737879490869448,0
159,1,0,0,0,1,2,2,1,1,1,1,1,1,2,0,0,-1.3035677110532067,-0.9184992051193165,0
160,0,0,0,1,1,0,0,2,2,0,0,0,0,0,1,2,-0.295671666511979,-0.7961435771031307,0
161,0,0,1,0,1,2,1,2,0,0,0,0,0,0,0,2,0.5824951841774079,-0.5106471117320305,1
162,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0.16004370676243765,-1.2447808798291453,0
163,1,0,0,0,1,2,0,0,2,2,2,0,2,2,1,0,0.2997520693721129,0.8352647964460139,0
164,0,0,1,1,1,0,2,1,1,1,1,1,1,1,0,3,-1.4732135799363837,-0.877713995780588,0
165,1,0,1,0,1,0,2,1,1,1,1,1,1,2,0,3,-1.4964983070379965,1.487828145865672,0
166,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.19996038179377348,-1.1632104611516882,1
167,1,0,1,0,1,2,0,2,2,2,2,2,2,2,1,0,0.8037000916427265,1.6101837738818576,0
168,1,1,1,0,0,1,0,0,2,2,0,0,2,0,1,2,-0.6515953522080562,1.039190843139657,1
169,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,2,-1.4798663591082732,-0.6737879490869448,0
170,1,0,1,0,1,0,1,2,0,2,2,0,0,1,1,0,0.6440333915173836,0.42741270305872775,0
171,0,0,1,0,1,2,1,0,0,2,2,2,2,0,1,2,1.31430089308523,-1.2447808798291453,1
172,1,0,1,0,1,0,0,0,2,2,2,2,2,2,0,3,0.5675264310406568,-0.7553583677644021,0
173,0,0,1,0,1,0,1,0,0,2,0,2,2,1,1,0,0.9966306876275159,0.8352647964460139,1
174,0,0,0,0,1,0,2,1,1,1,1,1,1,1,0,0,-1.4748767747293563,-0.021224599667287014,0
175,0,0,1,0,1,2,2,1,1,1,1,1,1,0,0,2,-1.3368316069126531,0.060345819010170214,0
176,0,1,0,0,1,2,1,0,0,0,0,0,0,0,1,3,0.31804721209480835,-0.7145731584256735,1
177,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0.3845750038137013,-1.0408548331355023,1
178,0,0,1,1,1,2,1,0,2,2,0,2,2,0,1,0,1.3459015941517039,-0.7145731584256735,0
179,1,0,1,0,1,0,2,1,1,1,1,1,1,1,1,1,-1.4748767747293563,1.161546471155843,0
180,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,-1.1621961536505592,-1.285566089167874,1
181,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,-0.6515953522080562,-1.285566089167874,0
182,1,0,0,0,1,2,1,0,0,0,0,0,2,0,0,0,0.6523493654822452,-1.0000696237967737,1
183,1,0,1,1,1,0,0,2,0,2,0,2,2,1,0,1,0.3280263808526422,0.019560609671441603,0
184,0,0,0,0,1,0,1,0,2,2,0,0,0,0,1,2,0.47771391222015125,-0.7961435771031307,1
185,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,-1.3335052173267088,-1.285566089167874,1
186,1,0,0,0,1,0,0,0,2,0,0,0,0,0,1,3,-0.43538002912165424,-0.5106471117320305,0
187,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,-1.1472274005138086,-1.2039956704904167,0
188,0,0,0,0,1,0,2,1,1,1,1,1,1,1,0,2,-1.504814281002858,-0.7961435771031307,0
189,0,0,1,0,1,2,0,0,2,0,0,0,0,0,0,1,-0.27571332899631107,0.3050570750425419,0
190,1,0,1,1,1,2,0,2,0,0,2,0,2,1,1,1,0.23322427765321996,0.42741270305872775,0
191,1,0,1,0,1,0,1,0,2,2,0,0,2,0,1,2,0.8685646885686472,-1.081640042474231,1
192,0,0,1,1,1,0,2,1,1,1,1,1,1,2,0,0,-1.5014878914169132,1.487828145865672,0
193,0,0,1,1,1,2,1,2,2,2,0,2,2,2,0,1,1.4905995411402961,1.6101837738818576,0
194,1,0,1,1,1,0,2,1,1,1,1,1,1,2,0,1,-1.5164566445536642,1.0799760524783857,0
195,0,0,1,0,1,0,1,2,2,0,2,2,0,0,1,2,1.053179310588575,-0.5106471117320305,0
196,1,0,1,1,1,2,2,1,1,1,1,1,1,2,1,0,-1.3567899444283211,-0.34750627437711595,0
197,1,0,0,0,1,2,1,0,2,2,2,2,2,0,1,2,1.5454849693083825,1.0799760524783857,0
198,1,0,1,1,1,2,1,0,2,2,2,2,2,2,1,0,1.5754224755818846,1.6101837738818576,0
199,1,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,-1.4682239955574667,-1.285566089167874,0
200,0,0,1,0,1,0,1,2,0,0,2,2,2,1,1,1,1.231141153436614,-0.22515064636093007,0
201,0,0,0,0,1,0,1,0,2,0,2,0,0,0,1,1,0.5043250289077084,-0.7553583677644021,0
